0,Rank,Song,Artist,Year
50,50,go now,the moody blues,1965
51,51,goldfinger,shirley bassey,1965
52,52,down in the boondocks,billy joe royal,1965
53,53,baby the rain must fall,glenn yarbrough,1965
54,54,catch us if you can,the dave clark five,1965
55,55,eight days a week,the beatles,1965
56,56,just a little,the beau brummels,1965
57,57,you turn me on,ian whitcomb,1965
58,58,ill be doggone,marvin gaye,1965
59,59,save your heart for me,gary lewis  the playboys,1965
60,60,tired of waiting for you,the kinks,1965
61,61,count me in,gary lewis  the playboys,1965
62,62,all day and all of the night,the kinks,1965
63,63,what the world needs now is love,jackie deshannon,1965
64,64,its not unusual,tom jones,1965
65,65,shes about a mover,sir douglas quintet,1965
66,66,shake,sam cooke,1965
67,67,wonderful world,hermans hermits,1965
68,68,nowhere to run,martha and the vandellas,1965
69,69,heart full of soul,the yardbirds,1965
70,70,love potion no 9,the searchers,1965
71,71,laurie strange things happen,dickey lee,1965
72,72,baby dont go,sonny  cher,1965
73,73,it aint me babe,the turtles,1965
74,74,tell her no,the zombies,1965
75,75,i go to pieces,peter and gordon,1965
76,76,red roses for a blue lady,vic dana,1965
77,77,dont just stand there,patty duke,1965
78,78,the tracks of my tears,the miracles,1965
79,79,too many rivers,brenda lee,1965
80,80,i like it like that,the dave clark five,1965
81,81,little things,bobby goldsboro,1965
82,82,true love ways,peter and gordon,1965
83,83,its the same old song,four tops,1965
84,84,youve got your troubles,the fortunes,1965
85,85,hold what youve got,joe tex,1965
86,86,we gotta get out of this place,the animals,1965
87,87,laugh laugh,the beau brummels,1965
88,88,the last time,the rolling stones,1965
89,89,do you believe in magic,the lovin spoonful,1965
90,90,all i really want to do,cher,1965
91,91,take me back,little anthony and the imperials,1965
92,92,i want candy,the strangeloves,1965
93,93,ooo baby baby,the miracles,1965
94,94,laugh at me,sonny bono,1965
95,95,treat her right,roy head,1965
96,96,the race is on,jack jones,1965
97,97,im a fool,dino desi  billy,1965
98,98,the boy from new york city,the ad libs,1965
99,99,keep searchin well follow the sun,del shannon,1965
100,100,how sweet it is to be loved by you,marvin gaye,1965
101,1,ballad of the green berets,ssgt barry sadler,1966
102,2,cherish,the association,1966
103,3,youre my soul and inspiration,the righteous brothers,1966
104,4,reach out ill be there,the four tops,1966
105,5,96 tears,  the mysterians,1966
106,6,last train to clarksville,the monkees,1966
107,7,monday monday,the mamas  the papas,1966
108,8,you cant hurry love,the supremes,1966
109,9,poor side of town,johnny rivers,1966
110,10,california dreamin,the mamas  the papas,1966
111,11,summer in the city,lovin spoonful,1966
112,12,born free,roger williams,1966
113,13,these boots are made for walkin,nancy sinatra,1966
114,14,what becomes of the brokenhearted,jimmy ruffin,1966
115,15,strangers in the night,frank sinatra,1966
116,16,we can work it out,the beatles,1966
117,17,good lovin,the young rascals,1966
118,18,winchester cathedral,new vaudeville band,1966
119,19,hanky panky,tommy james and the shondells,1966
120,20,when a man loves a woman,percy sledge,1966
121,21,paint it black,the rolling stones,1966
122,22,my love,petula clark,1966
123,23,lightnin strikes,lou christie,1966
124,24,wild thing,the troggs,1966
125,25,kicks,paul revere  the raiders,1966
126,26,sunshine superman,donovan,1966
127,27,sunny,bobby hebb,1966
128,28,paperback writer,the beatles,1966
129,29,see you in september,the happenings,1966
130,30,you keep me hangin on,the supremes,1966
131,31,lil red riding hood,sam the sham and the pharaohs,1966
132,32,devil with a blue dress ongood golly miss molly,mitch ryder  the detroit wheels,1966
133,33,good vibrations,the beach boys,1966
134,34,a groovy kind of love,the mindbenders,1966
135,35,you dont have to say you love me,dusty springfield,1966
136,36,cool jerk,the capitols,1966
137,37,born a woman,sandy posey,1966
138,38,red rubber ball,the cyrkle,1966
139,39,baby,carla thomas,1966
140,40,walk away renee,the left banke,1966
141,41,daydream,the lovin spoonful,1966
142,42,time wont let me,the outsiders,1966
143,43,hooray for hazel,tommy roe,1966
144,44,sweet pea,tommy roe,1966
145,45,bus stop,the hollies,1966
146,46,im your puppet,james  bobby purify,1966
147,47,im so lonesome i could cry,bj thomas,1966
148,48,aint too proud to beg,the temptations,1966
149,49,dirty water,the standells,1966
150,50,elusive butterfly,bob lind,1966
151,51,i am a rock,simon  garfunkel,1966
152,52,crying time,ray charles,1966
153,53,secret agent man,johnny rivers,1966
154,54,the sound of silence,simon  garfunkel,1966
155,55,lady godiva,peter and gordon,1966
156,56,homeward bound,simon  garfunkel,1966
157,57,did you ever have to make up your mind,the lovin spoonful,1966
158,58,barefootin,robert parker,1966
159,59,uptight everythings alright,stevie wonder,1966
160,60,bang bang my baby shot me down,cher,1966
161,61,sloop john b,the beach boys,1966
162,62,19th nervous breakdown,the rolling stones,1966
163,63,wipe out,the surfaris,1966
164,64,psychotic reaction,count five,1966
165,65,beauty is only skin deep,the temptations,1966
166,66,no matter what shape your stomachs in,the tbones,1966
167,67,just like me,paul revere  the raiders,1966
168,68,love makes the world go round,deon jackson,1966
169,69,the pied piper,crispian st peters,1966
170,70,coming on strong,brenda lee,1966
171,71,somewhere my love,ray conniff singers,1966
172,72,almost persuaded,david houston,1966
173,73,if i were a carpenter,bobby darin,1966
174,74,dont mess with bill,the marvelettes,1966
175,75,cherry cherry,neil diamond,1966
176,76,working in the coal mine,lee dorsey,1966
177,77,message to michael,dionne warwick,1966
178,78,love is a hurtin thing,lou rawls,1966
179,79,barbara ann,the beach boys,1966
180,80,gloria,shadows of knight,1966
181,81,my world is empty without you,the supremes,1966
182,82,rainy day women 12  35,bob dylan,1966
183,83,guantanamera,the sandpipers,1966
184,84,land of 1000 dances,wilson pickett,1966
185,85,oh how happy,the shades of blue,1966
186,86,woman,peter and gordon,1966
187,87,you baby,the turtles,1966
188,88,five oclock world,the vogues,1966
189,89,black is black,los bravos,1966
190,90,nowhere man,the beatles,1966
191,91,dandy,hermans hermits,1966
192,92,baby scratch my back,slim harpo,1966
193,93,shes just my style,gary lewis  the playboys,1966
194,94,the more i see you,chris montez,1966
195,95,i fought the law,bobby fuller four,1966
196,96,yellow submarine,the beatles,1966
197,97,hungry,paul revere  the raiders,1966
198,98,zorba the greek,herb alpert and the tijuana brass,1966
199,99,shapes of things,the yardbirds,1966
200,100,6345789 soulsville usa,wilson pickett,1966
201,1,to sir with love,lulu,1967
202,2,the letter,the box tops,1967
203,3,ode to billie joe,bobbie gentry,1967
204,4,windy,the association,1967
205,5,im a believer,the monkees,1967
206,6,light my fire,the doors,1967
207,7,somethin stupid,frank  nancy sinatra,1967
208,8,happy together,the turtles,1967
209,9,groovin,the young rascals,1967
210,10,cant take my eyes off you,frankie valli,1967
211,11,little bit o soul,the music explosion,1967
212,12,i think were alone now,tommy james and the shondells,1967
213,13,respect,aretha franklin,1967
214,14,i was made to love her,stevie wonder,1967
215,15,come back when you grow up,bobby vee,1967
216,16,kind of a drag,the buckinghams,1967
217,17,sweet soul music,arthur conley,1967
218,18,expressway to your heart,the soul survivors,1967
219,19,soul man,sam  dave,1967
220,20,never my love,the association,1967
221,21,apples peaches pumpkin pie,jay  the techniques,1967
222,22,come on down to my boat,every mothers son,1967
223,23,incense and peppermints,strawberry alarm clock,1967
224,24,ruby tuesday,the rolling stones,1967
225,25,it must be him,vikki carr,1967
226,26,love is here and now youre gone,the supremes,1967
227,27,for what its worth,buffalo springfield,1967
228,28,gimme little sign,brenton wood,1967
229,29,the happening,the supremes,1967
230,30,all you need is love,the beatles,1967
231,31,release me,engelbert humperdinck,1967
232,32,your precious love,marvin gaye  tammi terrell,1967
233,33,somebody to love,jefferson airplane,1967
234,34,get on up,the esquires,1967
235,35,brown eyed girl,van morrison,1967
236,36,jimmy mack,martha and the vandellas,1967
237,37,i got rhythm,the happenings,1967
238,38,a whiter shade of pale,procol harum,1967
239,39,dont you care,the buckinghams,1967
240,40,then you can tell me goodbye,the casinos,1967
241,41,reflections,the supremes,1967
242,42,on a carousel,the hollies,1967
243,43,please love me forever,bobby vinton,1967
244,44,alfie,dionne warwick,1967
245,45,silence is golden,the tremeloes,1967
246,46,my cup runneth over,ed ames,1967
247,47,up up and away,the 5th dimension,1967
248,48,san francisco be sure to wear flowers in your hair,scott mckenzie,1967
249,49,the rain the park  other things,the cowsills,1967
250,50,theres a kind of hush,hermans hermits,1967
251,51,mercy mercy mercy,the buckinghams,1967
252,52,this is my song,petula clark,1967
253,53,your love keeps lifting me higher and higher,jackie wilson,1967
254,54,ive been lonely too long,the young rascals,1967
255,55,penny lane,the beatles,1967
256,56,youre my everything,the temptations,1967
257,57,georgy girl,the seekers,1967
258,58,western union,five americans,1967
259,59,baby i love you,aretha franklin,1967
260,60,a little bit me a little bit you,the monkees,1967
261,61,california nights,lesley gore,1967
262,62,dedicated to the one i love,the mamas  the papas,1967
263,63,how can i be sure,the young rascals,1967
264,64,carrie anne,the hollies,1967
265,65,we aint got nothin yet,blues magoos,1967
266,66,friday on my mind,the easybeats,1967
267,67,soul finger,the barkays,1967
268,68,gimme some lovin,the spencer davis group,1967
269,69,let it out let it all hang out,the hombres,1967
270,70,lets live for today,the grass roots,1967
271,71,close your eyes,peaches  herb,1967
272,72,groovin,booker t  the mgs,1967
273,73,funky broadway,wilson pickett,1967
274,74,pleasant valley sunday,the monkees,1967
275,75,i never loved a man the way i love you,aretha franklin,1967
276,76,tell it like it is,aaron neville,1967
277,77,cold sweat,james brown,1967
278,78,shed rather be with me,the turtles,1967
279,79,986,keith,1967
280,80,here we go again,ray charles,1967
281,81,white rabbit,jefferson airplane,1967
282,82,bernadette,four tops,1967
283,83,the beat goes on,sonny  cher,1967
284,84,snoopy vs the red baron,the royal guardsmen,1967
285,85,societys child,janis ian,1967
286,86,girl youll be a woman soon,neil diamond,1967
287,87,aint no mountain high enough,marvin gaye  tammi terrell,1967
288,88,i take it back,sandy posey,1967
289,89,here comes my baby,the tremeloes,1967
290,90,everlasting love,robert knight,1967
291,91,i dig rock and roll music,peter paul and mary,1967
292,92,little ole man uptight everythings alright,bill cosby,1967
293,93,i had too much to dream last night,the electric prunes,1967
294,94,daydream believer,the monkees,1967
295,95,baby i need your lovin,johnny rivers,1967
296,96,mirage,tommy james and the shondells,1967
297,97,green green grass of home,tom jones,1967
298,98,i can see for miles,the who,1967
299,99,dont sleep in the subway,petula clark,1967
300,100,thank the lord for the night time,neil diamond,1967
301,1,hey jude,the beatles,1968
302,2,love is blue,paul mauriat,1968
303,3,honey,bobby goldsboro,1968
304,4,sittin on the dock of the bay,otis redding,1968
305,5,people got to be free,the rascals,1968
306,6,sunshine of your love,cream,1968
307,7,this guys in love with you,herb alpert,1968
308,8,the good the bad and the ugly,hugo montenegro,1968
309,9,mrs robinson,simon  garfunkel,1968
310,10,tighten up,archie bell  the drells,1968
311,11,harper valley pta,jeannie c riley,1968
312,12,little green apples,o c smith,1968
313,13,mony mony,tommy james and the shondells,1968
314,14,hello i love you,the doors,1968
315,15,young girl,gary puckett  the union gap,1968
316,16,cry like a baby,the box tops,1968
317,17,stoned soul picnic,the 5th dimension,1968
318,18,grazing in the grass,hugh masekela,1968
319,19,midnight confessions,the grass roots,1968
320,20,dance to the music,sly  the family stone,1968
321,21,the horse,cliff nobles,1968
322,22,i wish it would rain,the temptations,1968
323,23,lala means i love you,the delfonics,1968
324,24,turn around look at me,the vogues,1968
325,25,judy in disguise with glasses,john fred  his playboy band,1968
326,26,spooky,classics iv,1968
327,27,love child,the supremes,1968
328,28,angel of the morning,merrilee rush,1968
329,29,the ballad of bonnie and clyde,georgie fame,1968
330,30,those were the days,mary hopkin,1968
331,31,born to be wild,steppenwolf,1968
332,32,cowboys to girls,the intruders,1968
333,33,simon says,1910 fruitgum company,1968
334,34,lady willpower,gary puckett  the union gap,1968
335,35,a beautiful morning,the rascals,1968
336,36,the look of love,sergio mendes,1968
337,37,hold me tight,johnny nash,1968
338,38,yummy yummy yummy,ohio express,1968
339,39,fire,the crazy world of arthur brown,1968
340,40,love is all around,the troggs,1968
341,41,playboy,gene  debbe,1968
342,42,theme from valley of the dolls,dionne warwick,1968
343,43,classical gas,mason williams,1968
344,44,slip away,clarence carter,1968
345,45,im a girl watcher,the okaysions,1968
346,46,sweet sweet baby since youve been gone,aretha franklin,1968
347,47,green tambourine,the lemon pipers,1968
348,48,1 2 3 red light,1910 fruitgum company,1968
349,49,reach out of the darkness,friend  lover,1968
350,50,jumpin jack flash,the rolling stones,1968
351,51,macarthur park,richard harris,1968
352,52,light my fire,jose feliciano,1968
353,53,i love you,people,1968
354,54,take time to know her,percy sledge,1968
355,55,pictures of matchstick men,status quo,1968
356,56,summertime blues,blue cheer,1968
357,57,aint nothing like the real thing,marvin gaye  tammi terrell,1968
358,58,i got the feelin,james brown,1968
359,59,ive gotta get a message to you,the bee gees,1968
360,60,lady madonna,the beatles,1968
361,61,hurdy gurdy man,donovan,1968
362,62,magic carpet ride,steppenwolf,1968
363,63,bottle of wine,the fireballs,1968
364,64,stay in my corner,the dells,1968
365,65,soul serenade,willie mitchell,1968
366,66,delilah,tom jones,1968
367,67,nobody but me,the human beinz,1968
368,68,i thank you,sam and dave,1968
369,69,the fool on the hill,sergio mendes,1968
370,70,sky pilot,the animals,1968
371,71,indian lake,the cowsills,1968
372,72,i wonder what shes doing tonight,tommy boyce  bobby hart,1968
373,73,over you,gary puckett  the union gap,1968
374,74,goin out of my headcant take my eyes off you,the lettermen,1968
375,75,shoobedoobedoodaday,stevie wonder,1968
376,76,the unicorn,the irish rovers,1968
377,77,you keep me hangin on,vanilla fudge,1968
378,78,revolution,the beatles,1968
379,79,woman woman,gary puckett  the union gap,1968
380,80,elenore,the turtles,1968
381,81,white room,cream,1968
382,82,youre all i need to get by,marvin gaye  tammi terrell,1968
383,83,baby now that ive found you,the foundations,1968
384,84,sweet inspiration,sweet inspirations,1968
385,85,if you can want,the miracles,1968
386,86,cab driver,the mills brothers,1968
387,87,time has come today,the chambers brothers,1968
388,88,do you know the way to san jose,dionne warwick,1968
389,89,scarborough faircanticle,simon  garfunkel,1968
390,90,say it loud  im black and im proud,james brown,1968
391,91,the mighty quinn,manfred mann,1968
392,92,here comes the judge,shorty long,1968
393,93,i say a little prayer,aretha franklin,1968
394,94,think,aretha franklin,1968
395,95,sealed with a kiss,gary lewis and the playboys,1968
396,96,piece of my heart,big brother and the holding company,1968
397,97,suzie q,creedence clearwater revival,1968
398,98,bend me shape me,the american breed,1968
399,99,hey western union man,jerry butler,1968
400,100,never give you up,jerry butler,1968
401,1,sugar sugar,the archies,1969
402,2,aquariuslet the sunshine in,the 5th dimension,1969
403,3,i cant get next to you,the temptations,1969
404,4,honky tonk women,the rolling stones,1969
405,5,everyday people,sly  the family stone,1969
406,6,dizzy,tommy roe,1969
407,7,hot fun in the summertime,sly  the family stone,1969
408,8,ill never fall in love again,tom jones,1969
409,9,build me up buttercup,the foundations,1969
410,10,crimson and clover,tommy james and the shondells,1969
411,11,one,three dog night,1969
412,12,crystal blue persuasion,tommy james and the shondells,1969
413,13,hair,the cowsills,1969
414,14,too busy thinking about my baby,marvin gaye,1969
415,15,love theme from romeo and juliet,henry mancini,1969
416,16,get together,the youngbloods,1969
417,17,grazing in the grass,the friends of distinction,1969
418,18,suspicious minds,elvis presley,1969
419,19,proud mary,creedence clearwater revival,1969
420,20,what does it take to win your love,jr walker  the all stars,1969
421,21,its your thing,the isley brothers,1969
422,22,sweet caroline,neil diamond,1969
423,23,jean,oliver,1969
424,24,bad moon rising,creedence clearwater revival,1969
425,25,get back,the beatles with billy preston,1969
426,26,in the year 2525,zager  evans,1969
427,27,spinning wheel,blood sweat  tears,1969
428,28,baby i love you,andy kim,1969
429,29,going in circles,the friends of distinction,1969
430,30,hurt so bad,the lettermen,1969
431,31,green river,creedence clearwater revival,1969
432,32,my cherie amour,stevie wonder,1969
433,33,easy to be hard,three dog night,1969
434,34,baby its you,smith,1969
435,35,in the ghetto,elvis presley,1969
436,36,a boy named sue,johnny cash,1969
437,37,baby baby dont cry,the miracles,1969
438,38,only the strong survive,jerry butler,1969
439,39,time of the season,the zombies,1969
440,40,wedding bell blues,the 5th dimension,1969
441,41,little woman,bobby sherman,1969
442,42,love can make you happy,mercy,1969
443,43,good morning starshine,oliver,1969
444,44,these eyes,the guess who,1969
445,45,youve made me so very happy,blood sweat  tears,1969
446,46,put a little love in your heart,jackie deshannon,1969
447,47,do your thing,the watts 103rd street rhythm band,1969
448,48,id wait a million years,the grass roots,1969
449,49,touch me,the doors,1969
450,50,more today than yesterday,spiral starecase,1969
451,51,ive gotta be me,sammy davis jr,1969
452,52,lay lady lay,bob dylan,1969
453,53,atlantis,donovan,1969
454,54,traces,classics iv,1969
455,55,its getting better,mama cass elliot,1969
456,56,this magic moment,jay and the americans,1969
457,57,runaway child running wild,the temptations,1969
458,58,hawaii fiveo,the ventures,1969
459,59,galveston,glen campbell,1969
460,60,im gonna make you mine,lou christie,1969
461,61,gitarzan,ray stevens,1969
462,62,can i change my mind,tyrone davis,1969
463,63,time is tight,booker t  the mgs,1969
464,64,this girls in love with you,dionne warwick,1969
465,65,color him father,the winstons,1969
466,66,black pearl,checkmates ltd,1969
467,67,indian giver,1910 fruitgum company,1969
468,68,mother popcorn,james brown,1969
469,69,twentyfive miles,edwin starr,1969
470,70,things id like to say,new colony six,1969
471,71,when i die,motherlode,1969
472,72,thats the way love is,marvin gaye,1969
473,73,everybodys talkin,harry nilsson,1969
474,74,the worst that could happen,johnny maestro  the brooklyn bridge,1969
475,75,the chokin kind,joe simon,1969
476,76,smile a little smile for me,the flying machine,1969
477,77,polk salad annie,tony joe white,1969
478,78,ruby dont take your love to town,kenny rogers  the first edition,1969
479,79,games people play,joe south,1969
480,80,you showed me,the turtles,1969
481,81,tracy,the cuff links,1969
482,82,oh what a night,the dells,1969
483,83,something,the beatles,1969
484,84,this girl is a woman now,gary puckett  the union gap,1969
485,85,come together,the beatles,1969
486,86,ramblin gamblin man,bob seger system,1969
487,87,im gonna make you love me,the supremes  the temptations,1969
488,88,i heard it through the grapevine,marvin gaye,1969
489,89,gimme gimme good lovin,crazy elephant,1969
490,90,hang em high,booker t  the mgs,1969
491,91,your good thing is about to end,lou rawls,1969
492,92,baby im for real,the originals,1969
493,93,oh happy day,edwin hawkins singers,1969
494,94,love me tonight,tom jones,1969
495,95,mr sun mr moon,paul revere  the raiders,1969
496,96,laughing,the guess who,1969
497,97,my whole world ended the moment you left me,david ruffin,1969
498,98,soul deep,the box tops,1969
499,99,hooked on a feeling,bj thomas,1969
500,100,sweet cream ladies,the box tops,1969
501,1,bridge over troubled water,simon  garfunkel,1970
502,2,they long to be close to you,the carpenters,1970
503,3,american woman,the guess who,1970
504,4,raindrops keep fallin on my head,bj thomas,1970
505,5,war,edwin starr,1970
506,6,aint no mountain high enough,diana ross,1970
507,7,ill be there,the jackson 5,1970
508,8,get ready,rare earth,1970
509,9,let it be,the beatles,1970
510,10,band of gold,freda payne,1970
511,11,mama told me not to come,three dog night,1970
512,12,everything is beautiful,ray stevens,1970
513,13,make it with you,bread,1970
514,14,hitchin a ride,vanity fare,1970
515,15,abc,the jackson 5,1970
516,16,the love you save,the jackson 5,1970
517,17,cracklin rosie,neil diamond,1970
518,18,candida,dawn,1970
519,19,thank you falettinme be mice elf agin,sly  the family stone,1970
520,20,spill the wine,eric burdon  war,1970
521,21,ooh child,five stairsteps,1970
522,22,spirit in the sky,norman greenbaum,1970
523,23,lay down candles in the rain,melanie,1970
524,24,ball of confusion thats what the world is today,the temptations,1970
525,25,love on a twoway street,the moments,1970
526,26,which way you goin billy,the poppy family,1970
527,27,all right now,free,1970
528,28,i want you back,the jackson 5,1970
529,29,julie do ya love me,bobby sherman,1970
530,30,greeneyed lady,sugarloaf,1970
531,31,signed sealed delivered im yours,stevie wonder,1970
532,32,ride captain ride,blues image,1970
533,33,venus,shocking blue,1970
534,34,instant karma,john lennon,1970
535,35,patches,clarence carter,1970
536,36,lookin out my back door,creedence clearwater revival,1970
537,37,rainy night in georgia,brook benton,1970
538,38,somethings burning,kenny rogers  the first edition,1970
539,39,give me just a little more time,chairmen of the board,1970
540,40,love grows where my rosemary goes,edison lighthouse,1970
541,41,the long and winding road,the beatles,1970
542,42,snowbird,anne murray,1970
543,43,reflections of my life,marmalade,1970
544,44,hey there lonely girl,eddie holman,1970
545,45,the rapper,the jaggerz,1970
546,46,he aint heavy hes my brother,the hollies,1970
547,47,tighter tighter,alive n kickin,1970
548,48,come and get it,badfinger,1970
549,49,cecilia,simon  garfunkel,1970
550,50,love land,charles wright  the watts 103rd street rhythm band,1970
551,51,turn back the hands of time,tyrone davis,1970
552,52,lola,the kinks,1970
553,53,in the summertime,mungo jerry,1970
554,54,indiana wants me,r dean taylor,1970
555,55,i know im losing you,rare earth,1970
556,56,easy come easy go,bobby sherman,1970
557,57,express yourself,charles wright  the watts 103rd street rhythm band,1970
558,58,still water love,the four tops,1970
559,59,make me smile,chicago,1970
560,60,the house of the rising sun,frijid pink,1970
561,61,25 or 6 to 4,chicago,1970
562,62,my baby loves lovin,white plains,1970
563,63,love or let me be lonely,the friends of distinction,1970
564,64,united we stand,the brotherhood of man,1970
565,65,weve only just begun,the carpenters,1970
566,66,arizona,mark lindsay,1970
567,67,fire and rain,james taylor,1970
568,68,groovy situation,gene chandler,1970
569,69,evil ways,santana,1970
570,70,no time,the guess who,1970
571,71,didnt i blow your mind this time,the delfonics,1970
572,72,the wonder of you,elvis presley,1970
573,73,up around the bend,creedence clearwater revival,1970
574,74,if you let me make love to you then why cant i touch you,ronnie dyson,1970
575,75,i just cant help believing,bj thomas,1970
576,76,its a shame,the spinners,1970
577,77,for the love of him,bobbi martin,1970
578,78,mississippi queen,mountain,1970
579,79,i want to take you higher,ike  tina turner,1970
580,80,the letter,joe cocker,1970
581,81,ma belle amie,tee set,1970
582,82,the bells,the originals,1970
583,83,yellow river,christie,1970
584,84,somebodys been sleeping,100 proof aged in soul,1970
585,85,vehicle,the ides of march,1970
586,86,gimme dat ding,the pipkins,1970
587,87,lay a little lovin on me,robin mcnamara,1970
588,88,up the ladder to the roof,the supremes,1970
589,89,travelin band,creedence clearwater revival,1970
590,90,come saturday morning,the sandpipers,1970
591,91,psychedelic shack,the temptations,1970
592,92,without love there is nothing,tom jones,1970
593,93,are you ready,pacific gas  electric,1970
594,94,woodstock,crosby stills nash  young,1970
595,95,ill never fall in love again,dionne warwick,1970
596,96,look what theyve done to my song ma,the new seekers,1970
597,97,walk a mile in my shoes,joe south,1970
598,98,the thrill is gone,bb king,1970
599,99,its only make believe,glen campbell,1970
600,100,call me,aretha franklin,1970
601,1,joy to the world,three dog night,1971
602,2,maggie mayreason to believe,rod stewart,1971
603,3,its too latei feel the earth move,carole king,1971
604,4,one bad apple,the osmonds,1971
605,5,how can you mend a broken heart,bee gees,1971
606,6,indian reservation the lament of the cherokee reservation indian,paul revere  the raiders,1971
607,7,go away little girl,donny osmond,1971
608,8,take me home country roads,john denver,1971
609,9,just my imagination running away with me,the temptations,1971
610,10,knock three times,tony orlando and dawn,1971
611,11,me and bobby mcgee,janis joplin,1971
612,12,tired of being alone,al green,1971
613,13,want ads,honey cone,1971
614,14,smiling faces sometimes,the undisputed truth,1971
615,15,treat her like a lady,cornelius brothers  sister rose,1971
616,16,youve got a friend,james taylor,1971
617,17,mr big stuff,jean knight,1971
618,18,brown sugar,the rolling stones,1971
619,19,do you know what i mean,lee michaels,1971
620,20,the night they drove old dixie down,joan baez,1971
621,21,whats going on,marvin gaye,1971
622,22,uncle albertadmiral halsey,paul  linda mccartney,1971
623,23,aint no sunshine,bill withers,1971
624,24,signs,five man electrical band,1971
625,25,shes a lady,tom jones,1971
626,26,superstar,murray head  the trindad singers,1971
627,27,ive found someone of my own,the free movement,1971
628,28,amos moses,jerry reed,1971
629,29,temptation eyes,the grass roots,1971
630,30,superstar,the carpenters,1971
631,31,my sweet lord,george harrison,1971
632,32,sweet and innocent,donny osmond,1971
633,33,put your hand in the hand,ocean,1971
634,34,chickaboom dont ya jes love it,daddy dewdrop,1971
635,35,for all we know,the carpenters,1971
636,36,help me make it through the night,sammi smith,1971
637,37,rainy days and mondays,the carpenters,1971
638,38,if you could read my mind,gordon lightfoot,1971
639,39,gypsys tramps  thieves,cher,1971
640,40,never can say goodbye,the jackson 5,1971
641,41,rose garden,lynn anderson,1971
642,42,dont pull your love,hamilton joe frank  reynolds,1971
643,43,it dont come easy,ringo starr,1971
644,44,mr bojangles,nitty gritty dirt band,1971
645,45,i love you for all seasons,the fuzz,1971
646,46,whatcha see is whatcha get,the dramatics,1971
647,47,thats the way ive always heard it should be,carly simon,1971
648,48,if you really love me,stevie wonder,1971
649,49,spanish harlem,aretha franklin,1971
650,50,i dont know how to love him,helen reddy,1971
651,51,yoyo,the osmonds,1971
652,52,bridge over troubled water,aretha franklin,1971
653,53,doesnt somebody want to be wanted,the partridge family,1971
654,54,draggin the line,tommy james,1971
655,55,proud mary,ike  tina turner,1971
656,56,beginningscolour my world,chicago,1971
657,57,stay awhile,the bells,1971
658,58,sweet city woman,the stampeders,1971
659,59,me and you and a dog named boo,lobo,1971
660,60,another dayoh woman oh why,paul mccartney,1971
661,61,if,bread,1971
662,62,mercy mercy me the ecology,marvin gaye,1971
663,63,one toke over the line,brewer  shipley,1971
664,64,shes not just another woman,8th day,1971
665,65,bring the boys home,freda payne,1971
666,66,i just want to celebrate,rare earth,1971
667,67,never ending song of love,delaney  bonnie  friends,1971
668,68,easy loving,freddie hart,1971
669,69,liar,three dog night,1971
670,70,stickup,the honey cone,1971
671,71,chirpy chirpy cheep cheep,mac and katie kissoon,1971
672,72,where do i begin love story,andy williams,1971
673,73,wild world,cat stevens,1971
674,74,when youre hot youre hot,jerry reed,1971
675,75,funky nassau,the beginning of the end,1971
